order_book_id,trading_hours,market_tplus,symbol,exchange,abbrev_symbol,round_lot,type,de_listed_date,listed_date,status,index,base_date,base_point,underlying_symbol
000001.XSHG,"09:31-11:30,13:01-15:00",0.0,上证指数,XSHG,SZZS,1.0,INDX,0000-00-00,1991-07-15,Active,0.0,1990-12-19,100.0,
000002.XSHG,"09:31-11:30,13:01-15:00",0.0,A股指数,XSHG,AGZS,1.0,INDX,0000-00-00,1992-02-21,Active,1.0,1990-12-19,100.0,
000003.XSHG,"09:31-11:30,13:01-15:00",0.0,B股指数,XSHG,BGZS,1.0,INDX,0000-00-00,1992-08-17,Active,2.0,1992-02-21,100.0,
000004.XSHG,"09:31-11:30,13:01-15:00",0.0,工业指数,XSHG,GYZS,1.0,INDX,0000-00-00,1993-05-03,Active,3.0,1993-04-30,1358.78,
000005.XSHG,"09:31-11:30,13:01-15:00",0.0,商业指数,XSHG,SYZS,1.0,INDX,0000-00-00,1993-05-03,Active,4.0,1993-04-30,1358.78,
000006.XSHG,"09:31-11:30,13:01-15:00",0.0,地产指数,XSHG,DCZS,1.0,INDX,0000-00-00,1993-05-03,Active,5.0,1993-04-30,1358.78,
000007.XSHG,"09:31-11:30,13:01-15:00",0.0,公用指数,XSHG,GYZS,1.0,INDX,0000-00-00,1993-05-03,Active,6.0,1993-04-30,1358.78,
000008.XSHG,"09:31-11:30,13:01-15:00",0.0,综合指数,XSHG,ZHZS,1.0,INDX,0000-00-00,1993-05-03,Active,7.0,1993-04-30,1358.78,
000009.XSHG,"09:31-11:30,13:01-15:00",0.0,上证380,XSHG,SZ380,1.0,INDX,0000-00-00,2010-11-29,Active,310.0,2003-12-31,1000.0,
000010.XSHG,"09:31-11:30,13:01-15:00",0.0,上证180,XSHG,SZ180,1.0,INDX,0000-00-00,2002-07-01,Active,8.0,2002-06-28,3299.06,
000011.XSHG,"09:31-11:30,13:01-15:00",0.0,基金指数,XSHG,JJZS,1.0,INDX,0000-00-00,2000-06-09,Active,9.0,2000-05-08,1000.0,
000012.XSHG,"09:31-11:30,13:01-15:00",0.0,国债指数,XSHG,GZZS,1.0,INDX,0000-00-00,2003-01-02,Active,10.0,2002-12-31,100.0,
000013.XSHG,"09:31-11:30,13:01-15:00",0.0,企债指数,XSHG,QZZS,1.0,INDX,0000-00-00,2003-06-09,Active,11.0,2002-12-31,100.0,
000015.XSHG,"09:31-11:30,13:01-15:00",0.0,红利指数,XSHG,HLZS,1.0,INDX,0000-00-00,2005-01-04,Active,44.0,2004-12-31,1000.0,
000016.XSHG,"09:31-11:30,13:01-15:00",0.0,上证50,XSHG,SZ50,1.0,INDX,0000-00-00,2004-01-02,Active,12.0,2003-12-31,1000.0,
000017.XSHG,"09:31-11:30,13:01-15:00",0.0,新综指,XSHG,XZZ,1.0,INDX,0000-00-00,2006-01-04,Active,64.0,2005-12-30,1000.0,
000018.XSHG,"09:31-11:30,13:01-15:00",0.0,180金融,XSHG,180JR,1.0,INDX,0000-00-00,2007-12-10,Active,110.0,2002-06-28,1000.0,
000019.XSHG,"09:31-11:30,13:01-15:00",0.0,治理指数,XSHG,ZLZS,1.0,INDX,0000-00-00,2008-01-02,Active,111.0,2007-06-29,1000.0,
000020.XSHG,"09:31-11:30,13:01-15:00",0.0,中型综指,XSHG,ZXZZ,1.0,INDX,0000-00-00,2008-05-12,Active,120.0,2007-12-28,1000.0,
000021.XSHG,"09:31-11:30,13:01-15:00",0.0,180治理,XSHG,180ZL,1.0,INDX,0000-00-00,2008-09-10,Active,123.0,2007-06-29,1000.0,
000022.XSHG,"09:31-11:30,13:01-15:00",0.0,沪公司债,XSHG,HGSZ,1.0,INDX,0000-00-00,2008-11-19,Active,124.0,2007-12-31,100.0,
000025.XSHG,"09:31-11:30,13:01-15:00",0.0,180基建,XSHG,180JJ,1.0,INDX,0000-00-00,2008-12-15,Active,130.0,2002-06-28,1000.0,
000026.XSHG,"09:31-11:30,13:01-15:00",0.0,180资源,XSHG,180ZY,1.0,INDX,0000-00-00,2008-12-15,Active,131.0,2002-06-28,1000.0,
000027.XSHG,"09:31-11:30,13:01-15:00",0.0,180运输,XSHG,180YS,1.0,INDX,0000-00-00,2008-12-15,Active,132.0,2002-06-28,1000.0,
000028.XSHG,"09:31-11:30,13:01-15:00",0.0,180成长,XSHG,180CZ,1.0,INDX,0000-00-00,2009-01-09,Active,135.0,2002-06-28,1000.0,
000029.XSHG,"09:31-11:30,13:01-15:00",0.0,180价值,XSHG,180JZ,1.0,INDX,0000-00-00,2009-01-09,Active,136.0,2002-06-28,1000.0,
000030.XSHG,"09:31-11:30,13:01-15:00",0.0,180R成长,XSHG,180RCZ,1.0,INDX,0000-00-00,2009-01-09,Active,137.0,2002-06-28,1000.0,
000031.XSHG,"09:31-11:30,13:01-15:00",0.0,180R价值,XSHG,180RJZ,1.0,INDX,0000-00-00,2009-01-09,Active,138.0,2002-06-28,1000.0,
000032.XSHG,"09:31-11:30,13:01-15:00",0.0,上证能源,XSHG,SZNY,1.0,INDX,0000-00-00,2009-01-09,Active,139.0,2003-12-31,1000.0,
000033.XSHG,"09:31-11:30,13:01-15:00",0.0,上证材料,XSHG,SZCL,1.0,INDX,0000-00-00,2009-01-09,Active,140.0,2003-12-31,1000.0,
000034.XSHG,"09:31-11:30,13:01-15:00",0.0,上证工业,XSHG,SZGY,1.0,INDX,0000-00-00,2009-01-09,Active,141.0,2003-12-31,1000.0,
000035.XSHG,"09:31-11:30,13:01-15:00",0.0,上证可选,XSHG,SZKX,1.0,INDX,0000-00-00,2009-01-09,Active,142.0,2003-12-31,1000.0,
000036.XSHG,"09:31-11:30,13:01-15:00",0.0,上证消费,XSHG,SZXF,1.0,INDX,0000-00-00,2009-01-09,Active,143.0,2003-12-31,1000.0,
000037.XSHG,"09:31-11:30,13:01-15:00",0.0,上证医药,XSHG,SZYY,1.0,INDX,0000-00-00,2009-01-09,Active,144.0,2003-12-31,1000.0,
000038.XSHG,"09:31-11:30,13:01-15:00",0.0,上证金融,XSHG,SZJR,1.0,INDX,0000-00-00,2009-01-09,Active,145.0,2003-12-31,1000.0,
000039.XSHG,"09:31-11:30,13:01-15:00",0.0,上证信息,XSHG,SZXX,1.0,INDX,0000-00-00,2009-01-09,Active,146.0,2003-12-31,1000.0,
000040.XSHG,"09:31-11:30,13:01-15:00",0.0,上证通信,XSHG,SZTX,1.0,INDX,0000-00-00,2009-01-09,Active,147.0,2003-12-31,1000.0,
000041.XSHG,"09:31-11:30,13:01-15:00",0.0,上证公用,XSHG,SZGY,1.0,INDX,0000-00-00,2009-01-09,Active,148.0,2003-12-31,1000.0,
000042.XSHG,"09:31-11:30,13:01-15:00",0.0,上证央企,XSHG,SZYQ,1.0,INDX,0000-00-00,2009-03-30,Active,155.0,2008-12-31,1000.0,
000043.XSHG,"09:31-11:30,13:01-15:00",0.0,超大盘,XSHG,CDP,1.0,INDX,0000-00-00,2009-04-23,Active,156.0,2003-12-31,1000.0,
000044.XSHG,"09:31-11:30,13:01-15:00",0.0,上证中盘,XSHG,SZZP,1.0,INDX,0000-00-00,2009-07-03,Active,177.0,2003-12-31,1000.0,
000045.XSHG,"09:31-11:30,13:01-15:00",0.0,上证小盘,XSHG,SZXP,1.0,INDX,0000-00-00,2009-07-03,Active,178.0,2003-12-31,1000.0,
000046.XSHG,"09:31-11:30,13:01-15:00",0.0,上证中小,XSHG,SZZX,1.0,INDX,0000-00-00,2009-07-03,Active,179.0,2003-12-31,1000.0,
000047.XSHG,"09:31-11:30,13:01-15:00",0.0,上证全指,XSHG,SZQZ,1.0,INDX,0000-00-00,2009-07-03,Active,180.0,2003-12-31,1000.0,
000048.XSHG,"09:31-11:30,13:01-15:00",0.0,责任指数,XSHG,ZRZS,1.0,INDX,0000-00-00,2009-08-05,Active,181.0,2009-06-30,1000.0,
